split,subject_id,role,view,condition,n
test,006,gallery,0,NM,1
test,006,gallery,90,NM,1
test,006,probe,0,NM,1
test,006,probe,90,NM,1
test,007,gallery,0,NM,1
test,007,gallery,90,NM,1
test,007,probe,0,NM,1
test,007,probe,90,NM,1
train,000,train,0,NM,2
train,000,train,90,NM,2
train,001,train,0,NM,2
train,001,train,90,NM,2
train,002,train,0,NM,2
train,002,train,90,NM,2
train,003,train,0,NM,2
train,003,train,90,NM,2
val,004,gallery,0,NM,1
val,004,gallery,90,NM,1
val,004,probe,0,NM,1
val,004,probe,90,NM,1
val,005,gallery,0,NM,1
val,005,gallery,90,NM,1
val,005,probe,0,NM,1
val,005,probe,90,NM,1
