run,scope,manifest_sha256,checkpoint,checkpoint_sha256,predictions_sha256,metrics_sha256
validation/executed/runs/seed_11/bilstm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_11/bilstm/best.pt,1bbc4a9a48f61f6570b57c20deb2c26e92e9d092a1a33f5b3b8870de9995408d,d9a67548b0c4917280f139b9a2855758b74f2987656a849b1ffdfb47964c6946,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_11/cnn,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_11/cnn/best.pt,a4abc8aca8dcb7a2522eb9ce4475d051054466bbc50da7c7d4b6500c029bd3c9,13c3ff348ba7bbae1a23e8bc8643050a9cd87724887a1ce0a256d0295b464245,198441db0487eb3f62d5fc28d526ea1d87b141dff50c962a94c74527ba4b9bcf
validation/executed/runs/seed_11/random_forest,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_11/random_forest/model.joblib,6fdb7c61c9f7a39728ded7b732e0542b6c6bcd25933b6e42865347abae0a9a31,f5481909eeeccf98cae9dc5fb73d315a1eed6aec452d4f18ccfc36c8d23c9490,198441db0487eb3f62d5fc28d526ea1d87b141dff50c962a94c74527ba4b9bcf
validation/executed/runs/seed_11/svm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_11/svm/model.joblib,ceff2c08541ef7be89ff1b0d2d777c91ac45e75d918c1da3971c31785e77a584,971b545c89d89891284e5f778db8c3abbca8b8a66e894233042b32c4a020e7cd,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_11/tritrust,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_11/tritrust/best.pt,5f6618ffb034942535c5cb79467ba33c6f3576d60857e162b392c34af56e362f,024b553a091ac84378731804ef21a215d9112ba0a3c83b5ba9f412c20bc59907,50b4a7daebe3a64ed32d35e7c0ec2b71b8e6d88ecbe1d2fc9e73862afdf36af7
validation/executed/runs/seed_23/bilstm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_23/bilstm/best.pt,bc4c8b61f1e5d7ca48cdb9cebca1b2c11e0af4c4d9e4dd4d71e43206a02af0e9,911c963a66147cdad06c94a1ca1d507c3c9f09b2939d4b1c26bae1bc022b18e3,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_23/cnn,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_23/cnn/best.pt,bd8b7ba920f008cf7e9bd21e90b349b78f138f71a30f8562314985bc94264d17,f6da08a74114924eefb545a463bd33e9389f085339f3aef6d1709d7416c0dc96,289480eedd4a79edc66b86a566b25e73fb58af616345745c7144468a45450e86
validation/executed/runs/seed_23/random_forest,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_23/random_forest/model.joblib,a00c88e5401ede66ade219ebce99a91f7a1eb729c66c23b988c308dd91252a53,0727d821e903b0f15e7588dd355da9f3abc734f21e8d5e342a89c202bafd1053,198441db0487eb3f62d5fc28d526ea1d87b141dff50c962a94c74527ba4b9bcf
validation/executed/runs/seed_23/svm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_23/svm/model.joblib,c252635b465046e2cf60c41c990e93a350925f55b47ca9b322c44392b53969cb,971b545c89d89891284e5f778db8c3abbca8b8a66e894233042b32c4a020e7cd,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_23/tritrust,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_23/tritrust/best.pt,d76f4a4cb16f4535a34d5067b4596d1c16be533664a99eb1ca62fc0b5a3abea9,5cea267ebd51650f492b9fae9744de9f8257de8a08f98cc06314f7541b8fa40d,50b4a7daebe3a64ed32d35e7c0ec2b71b8e6d88ecbe1d2fc9e73862afdf36af7
validation/executed/runs/seed_37/bilstm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_37/bilstm/best.pt,e263802608161becd94a2fe4a43da679df9fa4941f2075054544a987a0b75981,3058c61dac151bcc910371d79741327e1792f9b3bd26bb5af6ab76b221a923be,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_37/cnn,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_37/cnn/best.pt,cc29bee8a10f8be343884ce5a74df427b54b23af7192b52f7ad439e5e290f9cf,a68791c475e963c0a8b7c476a7a4cd6fc27d3711bc0c274e698d9c0f8459ce6f,198441db0487eb3f62d5fc28d526ea1d87b141dff50c962a94c74527ba4b9bcf
validation/executed/runs/seed_37/random_forest,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_37/random_forest/model.joblib,e3777c7b0c8a74c7ac5a930054548e9beb1d2d7defe5d8b5d6b0cd1a4e608a00,f0070af520fdacdd15a6b58c0e12d42355c745cf82b6a380e3b7b7dea0ace7f0,198441db0487eb3f62d5fc28d526ea1d87b141dff50c962a94c74527ba4b9bcf
validation/executed/runs/seed_37/svm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_37/svm/model.joblib,3ba99ea112a5483c88e03a851f7470fb8924b463dfb0cc229ac50f9f5151c135,971b545c89d89891284e5f778db8c3abbca8b8a66e894233042b32c4a020e7cd,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_37/tritrust,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_37/tritrust/best.pt,d98976aeb7c92e4c49ab5dc19d7ceafafb234545182b8e20cc0b02f866c41b69,1d765a8c0129e3c39e07a1ebde09d708f88d0a524cb5dafc7b637c3f11c15e3f,50b4a7daebe3a64ed32d35e7c0ec2b71b8e6d88ecbe1d2fc9e73862afdf36af7
validation/executed/runs/seed_53/bilstm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_53/bilstm/best.pt,cf2f4be475c81aa7cbbb73b415c816970f7d9a651283fe22431c68f5dc8241fa,4b73d791481f5b543a6c4ef73ecbdf5b81d80e3c7b8137cc208af285f72462e8,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_53/cnn,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_53/cnn/best.pt,3c2a662fbe2cf44e2ad6e82d2618f91d03a0694b6529f6c4909bc50e2e748cea,78060950b016414094ddc24bf42a264a703045df95504203e6a31880c33af9b4,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_53/random_forest,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_53/random_forest/model.joblib,32a8ef8bd4af239c3c262f5dab414898453d39b92c4b38fd7e2381dabf0d2bcd,e65efbccb395ed8e00880001d6c1eae2c96b8c63b59eabc64cc7e861ed7370f5,198441db0487eb3f62d5fc28d526ea1d87b141dff50c962a94c74527ba4b9bcf
validation/executed/runs/seed_53/svm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_53/svm/model.joblib,93b2b39b3f7227632baa0751624eb0c7dd5f213f4585761e0b4614cab8578f6b,971b545c89d89891284e5f778db8c3abbca8b8a66e894233042b32c4a020e7cd,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_53/tritrust,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_53/tritrust/best.pt,6ac9396b04555f157ebb7a3ca7fe7d76b564c2436fb8f5a439ca9d1e4a2f1ded,7210522727ec2a3913f1433b05b699b98b3beb72647d4973e53ea8d756f0104d,50b4a7daebe3a64ed32d35e7c0ec2b71b8e6d88ecbe1d2fc9e73862afdf36af7
validation/executed/runs/seed_71/bilstm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_71/bilstm/best.pt,13135734758f9cfb4233a5f4e071598366a78573d1e0465243e0bfb14063d65a,9fb664294cf3539f201c47f9c2a3f077a055f130bf69bb44b2fc14399a50800a,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_71/cnn,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_71/cnn/best.pt,419f58ab4d5001dc7d177b7b3d53eef028feee135125f58aca010dcc3b92dc7d,250adafb4be93487420bbc7cd38df63027a52a5f18ebb2e0cd5582ad80e62619,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_71/random_forest,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_71/random_forest/model.joblib,aeab1b143a2128005d6b57ce2a0e5462404982a5a0cef8cc5a0388562a65d5e6,cea41634daa60b95cfdaeea1940c9445cf9611317707a3b252be239c18b020f2,198441db0487eb3f62d5fc28d526ea1d87b141dff50c962a94c74527ba4b9bcf
validation/executed/runs/seed_71/svm,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_71/svm/model.joblib,baaa8a37c4900055298648ede6279bf637fe11d38252e7862d1e27042d6576ac,971b545c89d89891284e5f778db8c3abbca8b8a66e894233042b32c4a020e7cd,3ac396e315c15069beada7dcdcc7d52d9135b73f5666463513ac6e6896ab3d2d
validation/executed/runs/seed_71/tritrust,synthetic_pipeline_validation,2c573a1b32bc85cf071dcb9f044bd91b884f0b5f6a794d5f5d07fd2282e66ea2,validation/executed/runs/seed_71/tritrust/best.pt,77c46f226da1c42cb6ac23071ea4a54f5fc43763065668622577a05bd857a468,0244c5eb7d362486264033b88598448647b5fe54fe7e3bb1220ec00aa202e1b7,cc0be64823d3f192d948e24e72e01b053b1bcdedf6e6ff47031b901585ba65b7
