sample_id,subject_id,split,role,view,condition,sequence,path,sha256,source_kind
s000_v000_0,000,train,train,0,NM,0,sequences/s000_v000_0.npz,1ce6e3804ecd46c14404820d275e2b94188c213f686b38a066cd43f293bfae93,synthetic_fixture
s000_v000_1,000,train,train,0,NM,1,sequences/s000_v000_1.npz,40db31598b6c3f26e0adf2c2dfb266921e2a49f8b745b5f2cb432e5999b6577a,synthetic_fixture
s000_v090_0,000,train,train,90,NM,0,sequences/s000_v090_0.npz,3e638032fc9a58d04738a75f58db1da99d21dd09f50b37eefc49be99ff274b67,synthetic_fixture
s000_v090_1,000,train,train,90,NM,1,sequences/s000_v090_1.npz,81e5722b9a9b276e002a03fa689d337855d2e7514498c543c9c77574a315ad35,synthetic_fixture
s001_v000_0,001,train,train,0,NM,0,sequences/s001_v000_0.npz,0a4ae526f10dca3665a7c01ae62fddf32405cc04e8338161601e37a40a6cb6bc,synthetic_fixture
s001_v000_1,001,train,train,0,NM,1,sequences/s001_v000_1.npz,28cf129a720b0774c0cfb93a0ac9f7b4e7da53335d0f0a59b625a792b830eb9c,synthetic_fixture
s001_v090_0,001,train,train,90,NM,0,sequences/s001_v090_0.npz,0ab9c6e83fb2d8d4a4c5cd468749a3feda3b524f5b59b89b68cbca4cc1af518f,synthetic_fixture
s001_v090_1,001,train,train,90,NM,1,sequences/s001_v090_1.npz,8f8a62e6c11781ba84e0a727b66f663a0b0e2d70db8cb731bde25675743db2e1,synthetic_fixture
s002_v000_0,002,train,train,0,NM,0,sequences/s002_v000_0.npz,d27eb79908d9bba4b8e28f7c20e6a48bce5a48404c53b77194e72a6846d77fa4,synthetic_fixture
s002_v000_1,002,train,train,0,NM,1,sequences/s002_v000_1.npz,a6bcc82034ce74916e80a67c213e34d0eb5907fe4d90ca20a90199c6e2240e30,synthetic_fixture
s002_v090_0,002,train,train,90,NM,0,sequences/s002_v090_0.npz,7e3bfbcd0d8979c2930d272a61565902cbc74307be0356fcaaeeb30f76ded73a,synthetic_fixture
s002_v090_1,002,train,train,90,NM,1,sequences/s002_v090_1.npz,7294ec32efcc9becdc90224d1da6e967de4a61b99d2d9637dbc3d4daa5b1e597,synthetic_fixture
s003_v000_0,003,train,train,0,NM,0,sequences/s003_v000_0.npz,0d84d9fd19a6fc7da8873734bc669d0f3acccbd0f902ccb358626bb4dbc6b6ac,synthetic_fixture
s003_v000_1,003,train,train,0,NM,1,sequences/s003_v000_1.npz,53664cccc5c2cf04e625a97f1c94022228bbfd97cf87fe5b2290012386435167,synthetic_fixture
s003_v090_0,003,train,train,90,NM,0,sequences/s003_v090_0.npz,732e58fed97761ded0a67593b037fe3412fa66e4d1b4d5ca9dcac434c9fba613,synthetic_fixture
s003_v090_1,003,train,train,90,NM,1,sequences/s003_v090_1.npz,e7a4dfec3aaf870fa6baf1fe89388398876eca472b174b290555b8041a8932e4,synthetic_fixture
s004_v000_0,004,val,gallery,0,NM,0,sequences/s004_v000_0.npz,03c43515603060f893524cd9711562606b302fcc63679d836aa1ff417bd29266,synthetic_fixture
s004_v000_1,004,val,probe,0,NM,1,sequences/s004_v000_1.npz,26e8511e009f7d3a0c77765ad11bfad190129aa53f95b3fe4c722d6d16d7d20d,synthetic_fixture
s004_v090_0,004,val,gallery,90,NM,0,sequences/s004_v090_0.npz,ee3fafa2fb01d360886377c9bb6fa178c943f7e20224e56374aeae529e77ea6f,synthetic_fixture
s004_v090_1,004,val,probe,90,NM,1,sequences/s004_v090_1.npz,c21490fb0d1f079fe32c18989165fb4ee41fa7416b87d5c2929e45857df8a67c,synthetic_fixture
s005_v000_0,005,val,gallery,0,NM,0,sequences/s005_v000_0.npz,7b51dcd67e8ece4b680a44d7d9c3d7f8ffb694578b72bc74421410c004093eec,synthetic_fixture
s005_v000_1,005,val,probe,0,NM,1,sequences/s005_v000_1.npz,6ec951b6a489d37ec1b620c753fb9287acfbb4e859a3783204af5a82b399b3ed,synthetic_fixture
s005_v090_0,005,val,gallery,90,NM,0,sequences/s005_v090_0.npz,d3b9a6760c5f4f97125734b02f2b38cf40d058160d26dfccd199d7a2e710e5b4,synthetic_fixture
s005_v090_1,005,val,probe,90,NM,1,sequences/s005_v090_1.npz,3a033a14ddd26283bae24e9eecd95b968e9dc83e7f943ebf02488a7f07adbb31,synthetic_fixture
s006_v000_0,006,test,gallery,0,NM,0,sequences/s006_v000_0.npz,4c1ed756b70db4f474986dd41022b81847559ed957cbacb040c5645ff3154fce,synthetic_fixture
s006_v000_1,006,test,probe,0,NM,1,sequences/s006_v000_1.npz,fb83de5fa10811a0bf136c0fe74606d415373ee25baac6215241a526ba82a7bf,synthetic_fixture
s006_v090_0,006,test,gallery,90,NM,0,sequences/s006_v090_0.npz,59630b0b15747e2af242908b4f32f8192ec537af63c205fe3fc60988de966ef4,synthetic_fixture
s006_v090_1,006,test,probe,90,NM,1,sequences/s006_v090_1.npz,1db5f66e3f0099ccf4c3690ff505d7864d904febf444ed62bfe2eb772dde8482,synthetic_fixture
s007_v000_0,007,test,gallery,0,NM,0,sequences/s007_v000_0.npz,fdeaeea98642e32f4424281aadf36b0113d38084cf78c7b14553b93b026329e7,synthetic_fixture
s007_v000_1,007,test,probe,0,NM,1,sequences/s007_v000_1.npz,5c762ba2de0133e2675f222648bf96efe122a91baf20f26e447f3ec063acc87e,synthetic_fixture
s007_v090_0,007,test,gallery,90,NM,0,sequences/s007_v090_0.npz,6af767ba5efd363ec5d536e3db5da7ac58ae17c4c065be698b36d12d8687a5cd,synthetic_fixture
s007_v090_1,007,test,probe,90,NM,1,sequences/s007_v090_1.npz,b36dea99e27387c3818e3da69a50186ab989fe04e23d030f9c7f766a8697c45a,synthetic_fixture
