seed,model,rank1,macro_f1,scope
11,bilstm,100.0,100.0,synthetic_pipeline_validation
11,cnn,50.0,33.33333333333333,synthetic_pipeline_validation
11,random_forest,50.0,33.33333333333333,synthetic_pipeline_validation
11,svm,100.0,100.0,synthetic_pipeline_validation
11,tritrust,0.0,0.0,synthetic_pipeline_validation
23,bilstm,100.0,100.0,synthetic_pipeline_validation
23,cnn,75.0,73.33333333333334,synthetic_pipeline_validation
23,random_forest,50.0,33.33333333333333,synthetic_pipeline_validation
23,svm,100.0,100.0,synthetic_pipeline_validation
23,tritrust,0.0,0.0,synthetic_pipeline_validation
37,bilstm,100.0,100.0,synthetic_pipeline_validation
37,cnn,50.0,33.33333333333333,synthetic_pipeline_validation
37,random_forest,50.0,33.33333333333333,synthetic_pipeline_validation
37,svm,100.0,100.0,synthetic_pipeline_validation
37,tritrust,0.0,0.0,synthetic_pipeline_validation
53,bilstm,100.0,100.0,synthetic_pipeline_validation
53,cnn,100.0,100.0,synthetic_pipeline_validation
53,random_forest,50.0,33.33333333333333,synthetic_pipeline_validation
53,svm,100.0,100.0,synthetic_pipeline_validation
53,tritrust,0.0,0.0,synthetic_pipeline_validation
71,bilstm,100.0,100.0,synthetic_pipeline_validation
71,cnn,100.0,100.0,synthetic_pipeline_validation
71,random_forest,50.0,33.33333333333333,synthetic_pipeline_validation
71,svm,100.0,100.0,synthetic_pipeline_validation
71,tritrust,25.0,20.0,synthetic_pipeline_validation
